22:45:06:894 [ALWAYS]	GUDE Logging Started
22:45:06:895 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
22:45:06:895 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
22:45:06:895 [ERROR]	Initialize resume cache pointer failure
22:45:06:895 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
22:45:06:895 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
22:45:09:066 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
22:45:09:067 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
22:45:09:067 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
22:45:09:067 [ERROR]	Initialize resume cache pointer failure
22:45:09:067 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
22:45:09:067 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
